"";"Date";"Brand";"Film.Code";"Ratecard.Duration";"Metric";"Value"
"1";"2017-01-11";"Head & shoulders";"Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116";30;"Cost";16836,13844
"2";"2017-01-11";"Head & shoulders";"Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116";30;"TRP";0,09
"3";"2017-05-15";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";706722,8318
"4";"2017-05-15";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";13,81
"5";"2017-05-16";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";1347483,549
"6";"2017-05-16";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";24,95
"7";"2017-05-17";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";932011,1007
"8";"2017-05-17";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";18,81
"9";"2017-05-18";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";1128613,75
"10";"2017-05-18";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";11,86
"11";"2017-05-19";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";1083733,838
"12";"2017-05-19";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";22,79
"13";"2017-05-20";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";870838,1519
"14";"2017-05-20";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";21,87
"15";"2017-05-21";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";842893,1245
"16";"2017-05-21";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";27
"17";"2017-05-22";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";702378,0218
"18";"2017-05-22";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";15,1
"19";"2017-05-23";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";919470,3993
"20";"2017-05-23";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";18,42
"21";"2017-05-24";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";517772,9731
"22";"2017-05-24";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";14,46
"23";"2017-05-25";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";500492,4791
"24";"2017-05-25";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";9,54
"25";"2017-05-26";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";320923,46
"26";"2017-05-26";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";4,46
"27";"2017-05-27";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";639921,3792
"28";"2017-05-27";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";9,7
"29";"2017-05-28";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";615333,7049
"30";"2017-05-28";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";16,7
"31";"2017-05-29";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"Cost";548038,524
"32";"2017-05-29";"Blend a med";"Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517";30;"TRP";14,07
