Date;Brand;Film.Code;Ratecard.Duration;Metric;Value
2017-01-11;Head & shoulders;Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116;30;Cost;16836,138440
2017-01-11;Head & shoulders;Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116;30;TRP;0,090000
2017-05-15;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;706722,831800
2017-05-15;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;13,810000
2017-05-16;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1347483,549000
2017-05-16;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;24,950000
2017-05-17;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;932011,100700
2017-05-17;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;18,810000
2017-05-18;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1128613,750000
2017-05-18;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;11,860000
2017-05-19;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1083733,838000
2017-05-19;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;22,790000
2017-05-20;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;870838,151900
2017-05-20;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;21,870000
2017-05-21;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;842893,124500
2017-05-21;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;27,000000
2017-05-22;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;702378,021800
2017-05-22;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;15,100000
2017-05-23;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;919470,399300
2017-05-23;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;18,420000
2017-05-24;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;517772,973100
2017-05-24;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;14,460000
2017-05-25;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;500492,479100
2017-05-25;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;9,540000
2017-05-26;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;320923,460000
2017-05-26;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;4,460000
2017-05-27;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;639921,379200
2017-05-27;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;9,700000
2017-05-28;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;615333,704900
2017-05-28;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;16,700000
2017-05-29;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;548038,524000
2017-05-29;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;14,070000
2017-05-30;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;528042,523800
2017-05-30;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;11,490000
2017-05-31;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;509231,471800
2017-05-31;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;11,700000
2017-06-01;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;17083,002640
2017-06-01;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;0,150000
2017-07-27;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;287053,691800
2017-07-27;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;9,440000
2017-07-28;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;446231,727900
2017-07-28;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;15,850000
2017-07-29;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;329316,842800
2017-07-29;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;8,320000
2017-07-30;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;369703,825900
2017-07-30;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;TRP;9,640000
2017-07-31;Aquafresh od 2001;Aquafresh fresh & minty kapitan aquafresh rozowa puszka szczoteczka loteria/hebe 300717;30;Cost;536139,669600
