Date;Brand;Film.Code;Ratecard.Duration;Metric;Value
2017-01-11;Head & shoulders;Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116;30;Cost;16836,13844
2017-01-11;Head & shoulders;Head & shoulders szampon rozne panie mowia a.lewandowska lustro/dostepny w drogeriach hebe/txt na pasku na dole 301116;30;TRP;0,09
2017-05-15;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;706722,8318
2017-05-15;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;13,81
2017-05-16;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1347483,549
2017-05-16;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;24,95
2017-05-17;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;932011,1007
2017-05-17;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;18,81
2017-05-18;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1128613,75
2017-05-18;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;11,86
2017-05-19;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;1083733,838
2017-05-19;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;22,79
2017-05-20;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;870838,1519
2017-05-20;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;21,87
2017-05-21;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;842893,1245
2017-05-21;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;27
2017-05-22;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;702378,0218
2017-05-22;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;15,1
2017-05-23;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;919470,3993
2017-05-23;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;18,42
2017-05-24;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;517772,9731
2017-05-24;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;14,46
2017-05-25;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;500492,4791
2017-05-25;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;9,54
2017-05-26;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;Cost;320923,46
2017-05-26;Blend a med;Blend a med 3d white luxe shakira salony 3op/3d white 2op 10.99zl hebe 300517;30;TRP;4,46
